time,cookie_def,necessary_option,necessary_response,necessary_likert,targeting_option,targeting_response,targeting_likert,functional_option,functional_response,functional_likert,performance_option,performance_response,performance_likert,new_term_option,new_term_response,age,gender,edu,tech
318,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to store the user's browsing history.,Neutral,targeting,Cookies used to personalize user ad experience.,Very unlikely,functional,Cookies needed for the site to run.,Neutral,performance,Cookies needed to measure and improve site features.,Neutral,functional,ads,36-45,Woman,Some college,No
122,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to store the user's browsing history.,Neutral,advertising,Cookies used to personalize user ad experience.,Unlikely,preference,Cookies needed to help personalize site services.,Likely,traffic,Cookies needed to measure and improve site features.,Neutral,performance,Spying,66+,Man,Some college,No
202,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Neutral,advertising,Cookies used to personalize user ad experience.,Unlikely,preference,,Unlikely,performance,I don't know,Neutral,advertising,Targeted ,26-35,Man,Some college,No
332,A token stored in a user’s browser that keeps track of their network traffic.,basic functionality,Cookies needed for the site to run.,Neutral,targeting,Cookies used to personalize user ad experience.,Very unlikely,preference,Cookies needed to help personalize site services.,Unlikely,statistics,I don't know,Neutral,functional,Personalized cookies,26-35,Woman,Some college,No
113,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Very likely,advertising,Cookies used to personalize user ad experience.,Unlikely,functional,Cookies needed to help personalize site services.,Likely,statistics,Cookies needed to measure and improve site features.,Likely,advertising,advertising ,26-35,Woman,4 year degree,No
120,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to store the user's browsing history.,Neutral,advertising,Cookies used to personalize user ad experience.,Very unlikely,preference,Cookies needed to help personalize site services.,Unlikely,traffic,I don't know,Neutral,functional,Ads ,18-25,Woman,2 year degree,No
229,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Likely,targeting,Cookies used to personalize user ad experience.,Likely,preference,Cookies needed to help personalize site services.,Likely,traffic,I don't know,Neutral,performance,website,46-55,Man,Some college,No
76,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Likely,targeting,Cookies used to personalize user ad experience.,Neutral,preference,Cookies needed to help personalize site services.,Neutral,statistics,Cookies needed to measure and improve site features.,Likely,necessary,Required,26-35,Man,Professional degree,No
93,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to personalize user experience.,Very likely,targeting,Cookies used to personalize user ad experience.,Very unlikely,functional,Cookies needed for the site to run.,Very likely,statistics,I don't know,Neutral,functional,Enabling,36-45,Non-binary,Professional degree,No
122,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,I don't know,Neutral,targeting,I don't know,Neutral,functional,Cookies needed for the site to run.,Likely,performance,I don't know,Neutral,advertising,targeted cookies,46-55,Man,Professional degree,No
214,A token stored in a user’s browser that keeps track of their network traffic.,strictly necessary,Cookies needed for the site to run.,Likely,advertising,Cookies needed to collect user location.,Unlikely,preference,Cookies needed to help personalize site services.,Unlikely,traffic,Cookies needed to measure and improve site features.,Neutral,functional,functioning,26-35,Woman,2 year degree,No
81,A token stored in a user’s browser that keeps track of their network traffic.,strictly necessary,Cookies needed for the site to run.,Very likely,advertising,Cookies used to personalize user ad experience.,Likely,functional,Cookies needed for the site to run.,Very likely,performance,I don't know,Very likely,necessary,standard,18-25,Woman,4 year degree,No
178,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Likely,advertising,Cookies used to personalize user ad experience.,Very unlikely,functional,Cookies needed for the site to run.,Likely,performance,Cookies needed to measure and improve site features.,Likely,advertising,Ad,46-55,Man,High school graduate,No
81,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to store the user's browsing history.,Likely,advertising,Cookies used to personalize user ad experience.,Neutral,preference,Cookies needed to help personalize site services.,Neutral,traffic,I don't know,Neutral,advertising,advertising,46-55,Woman,4 year degree,Yes
74,A token stored in a user’s browser that keeps track of their network traffic.,strictly necessary,Cookies needed to personalize user experience.,Very likely,targeting,Cookies used to personalize user ad experience.,Very likely,functional,Cookies needed to help personalize site services.,Very likely,statistics,Cookies needed to measure and improve site features.,Very likely,performance,Collective,18-25,Man,High school graduate,Yes
101,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to store the user's browsing history.,Neutral,targeting,Cookies needed to collect user location.,Unlikely,preference,Cookies needed to help personalize site services.,Neutral,performance,Cookies needed to measure and improve site features.,Likely,advertising,Targeting,36-45,Man,2 year degree,No
145,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Likely,advertising,Cookies used to personalize user ad experience.,Very unlikely,functional,Cookies needed to access premium site content.,Neutral,statistics,Cookies that are given higher priority over other site cookies.,Neutral,necessary,Cool,36-45,Woman,4 year degree,No
136,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed to store the user's browsing history.,Unlikely,targeting,Cookies used to personalize user ad experience.,Unlikely,functional,I don't know,Unlikely,traffic,I don't know,Unlikely,performance,Traffic cookies ,66+,Woman,4 year degree,No
88,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Very likely,targeting,Cookies used to personalize user ad experience.,Unlikely,preference,Cookies needed to help personalize site services.,Neutral,performance,Cookies needed to measure and improve site features.,Likely,performance,performance,26-35,Woman,Some college,No
150,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Very likely,targeting,Cookies used to personalize user ad experience.,Unlikely,preference,Cookies needed to help personalize site services.,Likely,statistics,Cookies needed to measure and improve site features.,Unlikely,advertising,targeted,26-35,Woman,Professional degree,No
357,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to store the user's browsing history.,Neutral,targeting,Cookies used to personalize user ad experience.,Unlikely,functional,Cookies needed to help personalize site services.,Neutral,traffic,Cookies needed to measure and improve site features.,Unlikely,functional,Disfunction  ,56-65,Man,Some college,No
296,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed to store the user's browsing history.,Likely,targeting,I don't know,Very unlikely,preference,Cookies needed to help personalize site services.,Very likely,statistics,Cookies that are given higher priority over other site cookies.,Neutral,functional,search,66+,Man,4 year degree,No
94,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Very likely,advertising,Cookies used to personalize user ad experience.,Unlikely,functional,Cookies needed for the site to run.,Likely,traffic,Cookies needed to make the site faster.,Neutral,performance,Traffic,18-25,Woman,2 year degree,No
173,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Likely,targeting,Cookies used to personalize user ad experience.,Unlikely,functional,Cookies needed for the site to run.,Neutral,performance,Cookies needed to make the site faster.,Neutral,functional,personalized,26-35,Man,Some college,Prefer not to answer
113,I don’t know,strictly necessary,Cookies needed for the site to run.,Very likely,advertising,Cookies needed to make ads appear.,Neutral,functional,Cookies needed for the site to run.,Very likely,traffic,Cookies needed to make the site faster.,Likely,functional,Functional cookies,26-35,Woman,Professional degree,No
99,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Likely,targeting,Cookies needed to collect user location.,Unlikely,preference,Cookies needed for the site to run.,Neutral,statistics,Cookies needed to make the site faster.,Neutral,necessary,Functionality ,26-35,Woman,4 year degree,No
94,A token stored in a user’s browser that keeps track of their network traffic.,basic functionality,Cookies needed to personalize user experience.,Neutral,targeting,Cookies used to personalize user ad experience.,Neutral,preference,Cookies needed to help personalize site services.,Neutral,statistics,Cookies needed to measure and improve site features.,Neutral,performance,Functionality,26-35,Woman,Some college,No
112,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Very likely,advertising,Cookies used to personalize user ad experience.,Very unlikely,preference,Cookies needed to help personalize site services.,Likely,statistics,Cookies needed to measure and improve site features.,Neutral,necessary,Functionality,26-35,Woman,2 year degree,No
72,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Likely,targeting,Cookies used to personalize user ad experience.,Unlikely,preference,Cookies needed to help personalize site services.,Likely,traffic,Cookies that are given higher priority over other site cookies.,Likely,performance,traffic,26-35,Man,Professional degree,No
121,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Neutral,advertising,Cookies used to personalize user ad experience.,Unlikely,preference,Cookies needed to help personalize site services.,Unlikely,statistics,Cookies needed to measure and improve site features.,Unlikely,necessary,baseline,26-35,Man,4 year degree,No
117,I don’t know,strictly necessary,I don't know,Unlikely,targeting,I don't know,Unlikely,functional,I don't know,Neutral,statistics,I don't know,Unlikely,necessary,settings ,26-35,Woman,Professional degree,No
160,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Very likely,targeting,Cookies needed to make ads appear.,Unlikely,functional,Cookies needed for the site to run.,Very likely,statistics,Cookies needed to measure and improve site features.,Very likely,necessary,functional cookie,26-35,Woman,4 year degree,No
103,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Likely,targeting,Cookies needed to make ads appear.,Unlikely,functional,Cookies needed for the site to run.,Likely,traffic,Cookies needed to make the site faster.,Neutral,performance,tracking ,26-35,Man,Professional degree,No
141,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed to personalize user experience.,Neutral,advertising,Cookies needed to collect user location.,Unlikely,preference,Cookies needed for the site to run.,Neutral,performance,Cookies needed to measure and improve site features.,Neutral,necessary,necessary.,18-25,Non-binary,High school graduate,No
129,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to personalize user experience.,Likely,advertising,Cookies used to personalize user ad experience.,Likely,preference,Cookies needed to help personalize site services.,Likely,performance,Cookies needed to measure and improve site features.,Likely,necessary,personalized,26-35,Man,High school graduate,No
154,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,I don't know,Neutral,targeting,I don't know,Neutral,preference,,Neutral,performance,I don't know,Neutral,functional,necessary ,18-25,Woman,High school graduate,No
141,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed to store the user's browsing history.,Neutral,targeting,Cookies used to personalize user ad experience.,Unlikely,preference,Cookies needed to help personalize site services.,Unlikely,statistics,Cookies needed to measure and improve site features.,Neutral,advertising,I do not want advertising,56-65,Woman,High school graduate,No
438,A token stored in a user’s browser that keeps track of their network traffic.,basic functionality,Cookies needed for the site to run.,Likely,advertising,Cookies needed to make ads appear.,Very unlikely,functional,Cookies needed to help personalize site services.,Likely,statistics,Cookies needed to measure and improve site features.,Very unlikely,functional,Advertising,56-65,Man,Professional degree,No
112,A token stored in a user’s browser that keeps track of their network traffic.,strictly necessary,Cookies needed to personalize user experience.,Neutral,targeting,Cookies used to personalize user ad experience.,Likely,preference,Cookies needed to access premium site content.,Neutral,statistics,Cookies needed to measure and improve site features.,Likely,advertising,target,18-25,Woman,Some college,No
91,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Neutral,advertising,Cookies used to personalize user ad experience.,Unlikely,functional,Cookies needed for the site to run.,Neutral,traffic,I don't know,Neutral,necessary,Functional ,36-45,Woman,Some college,No
269,I don’t know,basic functionality,I don't know,Neutral,advertising,I don't know,Neutral,functional,I don't know,Neutral,statistics,I don't know,Neutral,functional,Functionality ,26-35,Woman,High school graduate,No
128,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Unlikely,targeting,Cookies used to personalize user ad experience.,Unlikely,preference,Cookies needed to help personalize site services.,Unlikely,statistics,Cookies needed to measure and improve site features.,Unlikely,advertising,Advertising cookies,26-35,Woman,4 year degree,No
114,A token stored in a user’s browser that keeps track of their network traffic.,basic functionality,Cookies needed for the site to run.,Very likely,targeting,Cookies needed to make ads appear.,Unlikely,functional,Cookies needed to help personalize site services.,Likely,statistics,Cookies needed to measure and improve site features.,Likely,necessary,Functional cookies,18-25,Man,High school graduate,No
138,A token stored in a user’s browser that keeps track of their network traffic.,basic functionality,Cookies needed for the site to run.,Likely,targeting,Cookies used to personalize user ad experience.,Likely,preference,Cookies needed to help personalize site services.,Likely,performance,I don't know,Likely,necessary,Data,36-45,Woman,Professional degree,No
141,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Likely,advertising,I don't know,Neutral,functional,Cookies needed for the site to run.,Very likely,traffic,Cookies needed to make the site faster.,Neutral,functional,Personalization,36-45,Woman,Professional degree,No
162,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Likely,advertising,Cookies used to personalize user ad experience.,Likely,functional,Cookies needed for the site to run.,Very likely,traffic,Cookies needed to measure and improve site features.,Neutral,necessary,function,26-35,Woman,High school graduate,No
83,A token stored in a user’s browser that keeps track of their network traffic.,basic functionality,Cookies needed for the site to run.,Very likely,targeting,Cookies used to personalize user ad experience.,Unlikely,functional,Cookies needed to help personalize site services.,Neutral,performance,Cookies needed to make the site faster.,Likely,necessary,functionality,18-25,Woman,4 year degree,No
105,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Likely,advertising,Cookies used to personalize user ad experience.,Likely,preference,,Neutral,performance,Cookies needed to measure and improve site features.,Neutral,necessary,basic function,18-25,Woman,4 year degree,No
80,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Very likely,advertising,Cookies used to personalize user ad experience.,Very unlikely,preference,Cookies needed to help personalize site services.,Unlikely,performance,Cookies needed to measure and improve site features.,Likely,performance,information,26-35,Man,4 year degree,No
122,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Likely,targeting,Cookies used to personalize user ad experience.,Very unlikely,preference,Cookies needed to help personalize site services.,Unlikely,traffic,I don't know,Neutral,performance,traffic,18-25,Woman,4 year degree,No
132,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to personalize user experience.,Neutral,targeting,I don't know,Very unlikely,preference,Cookies needed to help personalize site services.,Neutral,performance,Cookies needed to measure and improve site features.,Neutral,necessary,functional,26-35,Woman,Professional degree,No
136,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Likely,advertising,Cookies used to personalize user ad experience.,Very unlikely,preference,Cookies needed to help personalize site services.,Unlikely,traffic,Cookies needed to make the site faster.,Unlikely,functional,Essential,46-55,Man,Some college,No
154,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Unlikely,targeting,Cookies used to personalize user ad experience.,Very unlikely,preference,Cookies needed to help personalize site services.,Neutral,statistics,I don't know,Unlikely,functional,strict,46-55,Man,2 year degree,Yes
154,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Likely,targeting,Cookies used to personalize user ad experience.,Unlikely,functional,Cookies needed for the site to run.,Likely,performance,Cookies needed to measure and improve site features.,Neutral,performance,performance,46-55,Man,4 year degree,No
217,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Neutral,advertising,Cookies used to personalize user ad experience.,Neutral,preference,Cookies needed to help personalize site services.,Likely,statistics,Cookies needed to measure and improve site features.,Likely,necessary,Specialized,26-35,Man,High school graduate,No
147,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to personalize user experience.,Neutral,targeting,Cookies needed to collect user location.,Unlikely,functional,Cookies needed to help personalize site services.,Neutral,statistics,Cookies needed to measure and improve site features.,Neutral,necessary,Personalized ,26-35,Man,Professional degree,Yes
180,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Very likely,advertising,Cookies used to personalize user ad experience.,Very unlikely,preference,Cookies needed to help personalize site services.,Likely,statistics,Cookies needed to measure and improve site features.,Unlikely,advertising,Tracking ,36-45,Man,4 year degree,Yes
173,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Neutral,advertising,Cookies used to personalize user ad experience.,Neutral,functional,Cookies needed to help personalize site services.,Neutral,statistics,Cookies needed to measure and improve site features.,Neutral,advertising,advertising ,18-25,Man,4 year degree,No
116,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Likely,targeting,Cookies used to personalize user ad experience.,Very unlikely,functional,I don't know,Neutral,traffic,I don't know,Very unlikely,necessary,Functional cookies ,26-35,Man,Some college,No
119,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Likely,targeting,Cookies used to personalize user ad experience.,Unlikely,functional,Cookies needed for the site to run.,Neutral,traffic,Cookies needed to measure and improve site features.,Neutral,performance,Traffic,26-35,Man,High school graduate,No
132,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed to store the user's browsing history.,Likely,advertising,Cookies used to personalize user ad experience.,Unlikely,functional,Cookies needed to help personalize site services.,Likely,statistics,Cookies needed to measure and improve site features.,Likely,performance,History,26-35,Woman,Some college,No
95,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Very likely,advertising,Cookies used to personalize user ad experience.,Very likely,preference,Cookies needed to help personalize site services.,Very likely,statistics,Cookies needed to measure and improve site features.,Very likely,necessary,Functionality,46-55,Man,4 year degree,No
172,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to personalize user experience.,Likely,advertising,Cookies used to personalize user ad experience.,Very unlikely,preference,Cookies needed to help personalize site services.,Unlikely,traffic,Cookies needed to measure and improve site features.,Unlikely,advertising,advertising ,26-35,Man,4 year degree,No
129,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Likely,advertising,Cookies used to personalize user ad experience.,Likely,preference,Cookies needed to help personalize site services.,Likely,statistics,Cookies needed to measure and improve site features.,Likely,functional,personalization cookie,36-45,Man,4 year degree,No
624,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to personalize user experience.,Neutral,advertising,Cookies used to personalize user ad experience.,Unlikely,functional,I don't know,Neutral,traffic,I don't know,Neutral,advertising,watch,18-25,Man,4 year degree,Yes
52,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Very likely,advertising,Cookies used to personalize user ad experience.,Very likely,functional,Cookies needed to help personalize site services.,Likely,performance,Cookies needed to measure and improve site features.,Likely,necessary,Functional,26-35,Woman,4 year degree,No
91,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Neutral,targeting,Cookies used to personalize user ad experience.,Very unlikely,functional,Cookies needed for the site to run.,Likely,performance,I don't know,Very unlikely,performance,Functional,36-45,Man,Doctorate,No
133,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Very likely,advertising,Cookies used to personalize user ad experience.,Very unlikely,functional,Cookies needed to help personalize site services.,Likely,performance,Cookies needed to make the site faster.,Likely,necessary,Functional,18-25,Man,4 year degree,No
121,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed to store the user's browsing history.,Neutral,advertising,Cookies used to personalize user ad experience.,Likely,preference,Cookies needed to help personalize site services.,Neutral,statistics,Cookies needed to measure and improve site features.,Neutral,functional,Preference,18-25,Man,High school graduate,No
131,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Neutral,targeting,Cookies used to personalize user ad experience.,Very unlikely,preference,Cookies needed to help personalize site services.,Very unlikely,performance,Cookies needed to measure and improve site features.,Neutral,functional,Personalization,26-35,Man,Professional degree,Yes
227,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Very likely,advertising,Cookies used to personalize user ad experience.,Neutral,preference,Cookies needed to help personalize site services.,Likely,statistics,Cookies needed to measure and improve site features.,Likely,functional,memory,18-25,Man,High school graduate,Yes
86,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Very likely,advertising,Cookies used to personalize user ad experience.,Likely,functional,Cookies needed for the site to run.,Likely,performance,Cookies needed to measure and improve site features.,Likely,advertising,advertising,26-35,Man,4 year degree,No
82,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Neutral,targeting,Cookies used to personalize user ad experience.,Unlikely,preference,,Neutral,performance,I don't know,Neutral,necessary,Essential,36-45,Man,2 year degree,Yes
194,A token stored in a user’s browser that keeps track of their network traffic.,strictly necessary,Cookies needed for the site to run.,Very likely,advertising,Cookies used to personalize user ad experience.,Likely,functional,I don't know,Neutral,performance,I don't know,Neutral,advertising,Targeted cookies,26-35,Man,4 year degree,No
107,I don’t know,strictly necessary,I don't know,Likely,targeting,I don't know,Neutral,functional,Cookies needed for the site to run.,Likely,traffic,I don't know,Neutral,advertising,Targeting ,18-25,Woman,Some college,No
350,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to personalize user experience.,Likely,targeting,Cookies used to personalize user ad experience.,Unlikely,preference,Cookies needed to help personalize site services.,Likely,performance,Cookies needed to measure and improve site features.,Likely,performance,tracking,46-55,Woman,4 year degree,No
92,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Likely,advertising,Cookies used to personalize user ad experience.,Very unlikely,preference,Cookies needed to help personalize site services.,Likely,performance,Cookies needed to measure and improve site features.,Neutral,performance,tracking,18-25,Man,4 year degree,No
124,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Neutral,targeting,Cookies used to personalize user ad experience.,Unlikely,functional,Cookies needed to access premium site content.,Neutral,traffic,Cookies needed to measure and improve site features.,Unlikely,performance,traffic,36-45,Man,4 year degree,Yes
111,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Very likely,targeting,Cookies used to personalize user ad experience.,Likely,preference,Cookies needed to help personalize site services.,Very likely,performance,Cookies that are given higher priority over other site cookies.,Likely,functional,necessary,46-55,Man,2 year degree,No
120,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to store the user's browsing history.,Likely,advertising,Cookies used to personalize user ad experience.,Neutral,preference,Cookies needed to help personalize site services.,Likely,statistics,Cookies needed to measure and improve site features.,Neutral,advertising,Preference ,26-35,Man,Some college,No
109,A token stored in a user’s browser that keeps track of their network traffic.,basic functionality,Cookies needed for the site to run.,Likely,advertising,Cookies needed to make ads appear.,Very unlikely,preference,Cookies needed to help personalize site services.,Likely,performance,Cookies needed to measure and improve site features.,Unlikely,functional,enabler,36-45,Woman,Some college,No
200,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,I don't know,Unlikely,advertising,Cookies used to personalize user ad experience.,Unlikely,preference,Cookies needed to help personalize site services.,Unlikely,performance,I don't know,Unlikely,necessary,necessary,46-55,Woman,High school graduate,No
82,An extension for the website that adds extra features to the website.,strictly necessary,Cookies needed for the site to run.,Likely,targeting,Cookies used to personalize user ad experience.,Neutral,functional,Cookies needed to help personalize site services.,Likely,statistics,I don't know,Neutral,functional,personalized,18-25,Woman,High school graduate,No
106,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Unlikely,targeting,Cookies used to personalize user ad experience.,Unlikely,preference,Cookies needed to help personalize site services.,Unlikely,traffic,Cookies needed to measure and improve site features.,Unlikely,advertising,targeting,56-65,Man,Professional degree,Yes
216,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Likely,advertising,Cookies used to personalize user ad experience.,Unlikely,functional,Cookies needed to help personalize site services.,Likely,performance,Cookies needed to measure and improve site features.,Neutral,necessary,Necessary ,46-55,Woman,Professional degree,No
317,A token stored in a user’s browser that keeps track of their network traffic.,strictly necessary,Cookies needed for the site to run.,Very likely,advertising,Cookies used to personalize user ad experience.,Unlikely,functional,Cookies needed for the site to run.,Very likely,traffic,Cookies needed to make the site faster.,Likely,functional,function cookies,56-65,Woman,Some college,No
137,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to personalize user experience.,Likely,targeting,Cookies needed to collect user location.,Likely,functional,Cookies needed for the site to run.,Likely,traffic,Cookies needed to measure and improve site features.,Likely,functional,Functional cookies,46-55,Man,Professional degree,Yes
107,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Likely,advertising,Cookies used to personalize user ad experience.,Neutral,preference,Cookies needed to help personalize site services.,Neutral,performance,Cookies needed to measure and improve site features.,Neutral,advertising,targeted adverts,36-45,Man,4 year degree,No
217,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to store the user's browsing history.,Likely,advertising,Cookies needed to collect user location.,Likely,functional,Cookies needed to help personalize site services.,Likely,performance,Cookies needed to measure and improve site features.,Likely,performance,performance,46-55,Man,Some college,No
134,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed for the site to run.,Unlikely,advertising,Cookies used to personalize user ad experience.,Unlikely,functional,Cookies needed to access premium site content.,Unlikely,traffic,Cookies needed to measure and improve site features.,Unlikely,necessary,Privacy,26-35,Man,2 year degree,Yes
242,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Very likely,targeting,Cookies used to personalize user ad experience.,Likely,functional,Cookies needed for the site to run.,Likely,performance,Cookies needed to measure and improve site features.,Likely,necessary,Function,36-45,Woman,Some college,No
139,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to personalize user experience.,Likely,targeting,Cookies used to personalize user ad experience.,Unlikely,functional,Cookies needed to help personalize site services.,Likely,traffic,Cookies needed to measure and improve site features.,Likely,performance,Data-Mining,26-35,Man,2 year degree,Yes
173,I don’t know,basic functionality,Cookies needed to personalize user experience.,Very unlikely,targeting,Cookies used to personalize user ad experience.,Very unlikely,preference,,Very unlikely,traffic,I don't know,Very unlikely,functional,Uncool cookie,46-55,Man,Less than high school,No
132,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,I don't know,Likely,targeting,Cookies used to personalize user ad experience.,Unlikely,functional,I don't know,Neutral,performance,I don't know,Likely,advertising,Tracking,36-45,Man,Doctorate,No
